Name, Logo URL, Gst number, Address, Telephone, Fax, E-mail, Website, Contact, Product, Special Product
CLEAN Q GRIP (M) SDN BHD (841312-V),http://www.margma.com.my/wp-content/uploads/2017/07/clean.png,642580480,No. 51 / 49 / 47_ Jalan Mahogoni 7/4_ Bandar Utama_ Business Centre_ 44300 Batang Kali_ Selangor_ MALAYSIA.,603-6057 2714,603-6057 0905,info@cgglove.comsmaniam@cleanqgrip.comsmaniam@cggloves.commanagement@cgglove.com     ,www.cleanqgrip.com,Mr. S. Maniam_ Managing DirectorMr. Selvapandian_ Factory Manager,A. Medical & Clean Room Gloves – Class 10 & 100– Latex Gloves (Ambi / Hand Specific) 9” – 24”– Nitrile Gloves (Ambi / Hand Specific) 9” – 24”– High Risk Latex / Nitrile Gloves for Maximum Protection– Anti-Static & Clean Room Latex / Nitrile Finger Cots– Vinyl Gloves 9” – 12”B. Contrat Chlorination & Clean Room & OEM Packing ServicesC. Labaratory Testing ServicesD. Special Medical Devices Packing Services,None
COMFORT RUBBER GLOVES INDUSTRIES SDN BHD (260990-U),http://www.margma.com.my/wp-content/uploads/2017/07/comfort.png,493223936,Lot 821_ Jalan Matang_ 34750 Matang_ Taiping_ Perak_ MALAYSIA.,605-847 2777,605-847 9108,inquiry@comfort-rubber.com.my,www.comfort-rubber.com.my,Mr Ken Cheang_ Managing DirectorSteven Ng_ Senior Manager of Sales & Marketing / Shipping,Non-Sterile Latex Examination Gloves (Powdered_ Powder-free_ Polymer Coated PF_ Chlorinated PF)Non-Sterile Nitrile Examination Gloves (Powdered_ Powder-   free),None
CONCEPT RUBBER PRODUCTS SDN BHD (45723-K),http://www.margma.com.my/wp-content/uploads/2017/07/concept-300x76.jpg,453152768,2050_ Jalan Alma_ 14000 Bukit Mertajam_ Penang_ MALAYSIA.,604-551 5299 / 551 1011,604-551 1041,marketing@conceptrubber.com ,www.conceptrubber.com,Mr. Teoh Hun Lim_ Director,(a) Latex Examination Gloves(b) Latex Male External Catheters(c) Latex Light Overshoes,None
CRANBERRY (M) SDN BHD (104994-W),http://www.margma.com.my/wp-content/uploads/2017/07/cranberry-300x64.jpg,819703808,Lot 85_ Jalan Portland_ Tasek Industrial Estate_ 31400 Ipoh_ Perak_ MALAYSIA.,605-291 1055,605-291 8580,info@cranberry.com.my,www.cranberry.com.my,Mr. Thum Teck Lam_ General ManagerMr. Brian Yeong_ Assistant Marketing Manager,(a) Latex & Nitrile Examination Gloves (Powdered & Powder-free)(b) Cleanroom Gloves (Class 100)(c) High Risk Latex & Nitrile Gloves,None
ECO MEDI GLOVE SDN BHD (815262-D),None,1239154688,118_ Jalan Logam 7_ Kamunting Raya Industrial Estate_ 34600_ Taiping_ Perak MALAYSIA,605-891 2777,605- 891 2999,sales@ecomediglove.com.mycasey.khor@ecomediglove.com.my,www.ecomediglove.com,Wong Teek Son_ Company DirectorCasey Khor_ General Manager,None,None
FLEXITECH SDN BHD (165532-M),http://www.margma.com.my/wp-content/uploads/2017/07/top-glove-300x111.gif,1709834240,Lot 124 & 126_ Jalan Lapan_ Kompleks Perabot Olak Lempit_ 13 KM_ Jalan Banting- Dengkil_ 42700 Banting_ Selangor_ MALAYSIA.,603-3149 1998,603-3149 3008,sales@flexiss.com,www.flexiglove.comwww.topglove.com.my,Mr. KM Lee_ Managing DirectorMr. Leong Chew Mun_ Senior General Manager (Marketing),(a) Single Chlorination Gloves (Nitrile)(b) Double Chlorination Gloves (Latex & Nitrile)(c) Cleanroom Gloves (Latex & Nitrile),None
FWK INDUSTRY SDN BHD (460085-W),http://www.margma.com.my/wp-content/uploads/2017/07/fwk-industry-300x85.jpg,1559781376,No. 38_ 39 & 40_ Lorong Sungai Tukang ¼_ Kawasan Perusahaan Sungai Tukang_ 08000 Sungai Petani_ Kedah_ MALAYSIA.,604-421 5032,604-422 5861,fwk@fwkindustry.com,www.fwkindustry.com,Mr. Fong Weng Kong_ DirectorMdm. Wong Moi Kiat_ Director,Foamed Latex / Nitrile Nylon Gloves for Gardening / DIY/ Home Improvement / Automative Care,None
G. B. INDUSTRIES SDN BHD (166764-T),http://www.margma.com.my/wp-content/uploads/2017/07/G-B-300x187.jpg,2080112640,75 – 2_ Jalan USJ 21 / 11_ 47630 Subang Jaya_ Selangor_ MALAYSIA.,603-8023 8899,603-8023 8877,sales@gb-intl.com ,www.gb-intl.com,Mr. Ong Boon Kee_ Chief Executive OfficerMs. Chan Po Lin_ General Manager – Sales,(a) Household and Industrial Gloves (Natural Rubber & Synthetic)(b) Rubber Insulating Gloves(c) Nuclear Plant Gloves(d) Attenuation Gloves,None
GMP MEDICARE SDN BHD (116271-X),http://www.margma.com.my/wp-content/uploads/2017/07/top-glove-300x111.gif,576192512,Lot 2431_ Mukim Port Dickson_ Sendayan_ 71100 Siliau_ Negeri Sembilan_ MALAYSIA.,606-651 4966,606-651 6896,sales@topglove.com.my,www.topglove.com.my,Mr. KM Lee_ Managing DirectorMs. Noraziah Mahmud_ Senior General ManagerMr. Siow Chun Min_ Production Manager ,Nitrile Powder Free,None
GREAT ECO GLOVE (970327-V),None,None,1675_ Jalan Makmur_ Batu 28_ Ijok_ 456000_ Bestari Jaya_ Selangor_ MALAYSIA,6010-226 3793,–,iannpg.geg@gmail.com,None,Dr. Neoh Vee Heng – Executive Chairman,Latex & Nitrile Gloves,None
GX CORPORATION SDN BHD (752821-X),None,2081161216,Lot 6491_ Batu 5 ¾_ Sementa_ Jalan Kapar_ 42100 Klang_  Selangor_ MALAYSIA.,603-3291 2988,603-3290 2988,info@gxcorp.com.my,None,Dr David Loh Yee Feei_ Chief Executive OfficerMr Steven Lee Soon Huat_ Marketing Manager ,(a) Chemotherapy Nitrile Examination Gloves(b) Chemotherapy High Risk Gloves(c) Safety / Industrial Nitrile Gloves(d) Specialty Gloves(e) Latex Examination Gloves(f) Latex Surgical Gloves(g) Cleanroom Glove,None
HARTALEGA HOLDINGS BHD (741883-X),http://www.margma.com.my/wp-content/uploads/2017/07/hartalega-logo-300x92.png,2141851648,C-G-9_ Jalan Dataran SD1_ Dataran SD PJU 9_ Bandar Sri Damansara_ 52200 Kuala Lumpur_ MALAYSIA.,603-6277 1733,603-6280 2533,info@hartalega.com.my ,www.hartalega.com.my,Mr. Kuan Mun Keng_ Director – Business DevelopmentMr. Koh Hock Chuan_ Senior Manager – Sales,(a) Nitrile Examination Gloves (Powder-Free)(b) Latex Examination Gloves (Powdered_ Chlorinated Powder- Free_ Polymer Coated Powder-Free)(c) Nitrile Cleanroom Gloves (Class 100),None
HL RUBBER INDUSTRIES SDN BHD (621188-H),http://www.margma.com.my/wp-content/uploads/2017/07/HL.png,1276690432,Lot 10_ Kawasan Perindustrian Dioh_ 72000 Kuala Pilah_ Negri Sembilan_ MALAYSIA.,606-4811 087 / 088,606-4811 068,lsiongh@gmail.comsales@hlrubber-ind.comjelynho@hotmail.com,www.hlrubber-ind.com ,Mr. Lau Siong Hut_ Vice PresidentMs Ho Jye Ling_ Accountant,(a) NBR Powdered & Powderfree Examination Gloves(b) NR Powdered & Powderfree Examination Gloves,None
JR ENGINEERING AND MEDICAL TECHNOLOGIES (M) SDN BHD (549862-H),http://www.margma.com.my/wp-content/uploads/2017/11/JR.png,969080832,No. 11_ Jalan Indah 2_ Taman Serendah Indah_ 48200 Serendah_ Selangor Darul Ehsan_ MALAYSIA,603-6081 5081,603-6081 4081,ganeshjrmt@gmail.com,www.jr-medical.com,Ganesan a/l Subramaniam_Managing DirectorHamen a/l Ganesan_General ManagerMohanadass a/l Ganesan_Senior General Manager,Latex_ Nitrile_ Surgical Examination_ Household_ Goundled_ Elbow Length_ Safety Gloves.,None
KL-KEPONG RUBBER PRODUCTS SDN BHD (96464-V),http://www.margma.com.my/wp-content/uploads/2017/07/kl-kepong.png,344197120,Lot 21251_ ¾ Mile_ Off Jalan Bercham_ Kawasan Perindustrian Bercham_ 31400 Ipoh_ Perak_ MALAYSIA.,605-541 7337605-5415173605-5415214,605-5415148 (Marketing)605-5412794 (Purchasing),info@klkrp.com.my,www.klkrp.com.my,Mr. Michael Ng_ General ManagerMs. Nicole Chin_ Marketing ManagerMs. Jaycee Low_ Asst. Marketing ManagerMs. Foo Yih Ming_ Asst. Marketing ManagerMs. Chen Soo Ching_ Sales & Marketing Executive,Household Rubber Gloves / Industrial Gloves,None
KOON SENG SDN BHD (107051-H),http://www.margma.com.my/wp-content/uploads/2017/07/koon-seng.png,1105969152,1321_ 13th Floor_ Block A_ Lift Lobby 6_ Damansara Intan No. 1_ Jalan SS20/27_ 47400_ Petaling Jaya_ Selangor Darul Ehsan_ MALAYSIA.,603 – 7733 1388,603 – 7733 6499,koonseng@koonseng.com,www.koonseng.com,Mr. Robert Yeo_ Managing DirectorMr. Danny Ong_ Chief Marketing Officer,Latex and Nitrile Examination Gloves,None
KOSSAN LATEX INDUSTRIES (M) SDN BHD (169832-K),http://www.margma.com.my/wp-content/uploads/2017/07/kossan.png,1072431104,Wisma Kossan_ Lot 782_ Jalan Sungai Putus_ Off Batu 3 ¾_ Jalan Kapar_ 42100 Klang_ Selangor_ MALAYSIA.,603-3291 2657,603-3291 7116 / 0584,adeline@kossan.com.myfylim@kossan.com.my,www.kossan.com.my,Ms. Adeline Tan_ Senior Marketing Manager (Ext. 578)Ms. Lim Fui Yiing_ Marketing Manager (Ext: 538)(Tel: 603-3291 2657 / 3291 2890),(a) Latex Examination Gloves: Non-Sterile_ Powdered / Powder-free (Single / Double chlorinated) / Polymer-coated(b) Nitrile Examination Gloves: Non-Sterile_ Powdered / Powder-free / Polymer-coated,None
LATEXX MANUFACTURING SDN BHD (165989-U),http://www.margma.com.my/wp-content/uploads/2017/07/latexx.png,1932038144,Lot 18374_ Jalan Perusahaan 3_ Kamunting Industrial Estate_ 34600 Kamunting_ Taiping_ Perak_ MALAYSIA.,605-829 5555,605-891 1688,sales@latexx.com.my,www.latexx.com.my,Mr. Philip Pindo Mok_ Managing Director & Director of OperationsMr. K. Shamu Ganathan_ Director & Head of HR_ Administration & Corporate ServicesMr. Leslie Lee_ Site ManagerMs Phun Mei Ling_ Sales Manager,(a) Latex Examination Gloves (Pre-Powdered_ Chlorinated Powder- free_ Polymer-coated Powder-free)(b) Nitrile Examination Gloves (Powder-free),None
LONGCANE INDUSTRIES SDN BHD (357944-W),http://www.margma.com.my/wp-content/uploads/2017/07/longcane.png,217055232,Lot 5783_ Mukim 15_ Jalan Seladang_ Alma_ 14000 Bukit Mertajam_ Penang_ MALAYSIA.,604-552 1188017-5775788012-4388219,604-552 1188,sales@longcane.netexport@longcane.net,www.longcane.netwww.longcane.com.my,Mr. Lim Hai Leong_ General ManagerMr. Hozen Lim_ Export ManagerMs. Munis_ Marketing Executive ,(a) Industrial Rubber Gloves (Black_ Bi-Color and Orange)(b) Household Gloves (31cm_ 38cm_ 45cm_ and 55cm)(c) Safety Products_ Safety Shoes_ Water Boots,None
MARCON RUBBER INDUSTRY SDN BHD (171564-K),http://www.margma.com.my/wp-content/uploads/2017/07/MARCON-RUBBER.png,None,Lot 27-29_ Kawasan Perindustrian Alor Gajah (Peringkat III)_ 78000 Alor Gajah_ Melaka_ MALAYSIA.,606-951 1609,606-955 5153,marcon.mkt@gmail.com,None,Mr. Azmi Bin Ismail (Director)_Ms. Chris (Director)Mr. YT Koh (Marketing Manager),Pre-Powdered_ Powder Free Latex Examination GlovesPre-Powdered_ Powder Free Latex Surgical GlovesPowder Free Nitrile Gloves,None
MAXTER GLOVE MANUFACTURING SDN BHD (229862-H),http://www.margma.com.my/wp-content/uploads/2017/07/maxter-300x89.png,1989738496,Lot 6068_ Jalan Haji Abdul Manan_ 6th Miles Off Jalan Meru_ 41050 Klang_ Selangor_ MALAYSIA.,603-3392 9888,603-3392-3328,info@maxter.com.my ,www.supermax.com.my,Dato’ Seri Stanley Thai_  Group Managing DirectorDatin Seri Cheryl Tan_ Group Executive DirectorMr. Denis Low_ Director Sales & Marketing (OEM Division),Natural Rubber Gloves – Powder-free & Lightly Powdered_ Nitrile Gloves – Powder-free_Latex Surgical Gloves – Lightly Powdered & Powder-free_ Dental Gloves – Powder-free,None
MAXWELL GLOVE MANUFACTURING BERHAD (99472-X),http://www.margma.com.my/wp-content/uploads/2017/07/Maxwell-Glove-Manufacturing-Berhad.png,2062163968,Lot 72706_ Jalan Lahat_ Kawasan Perindustrian Bukit Merah_ 31500 Lahat_ Perak_ MALAYSIA.,605-322 3200,605-322 2300,info@maxwell.my,www.maxwell.my,Dato’ Seri Stanley Thai_ Group Managing DirectorDatin Seri Cheryl Tan_ Group Executive DirectorMr. Denis Low_ Director_ Sales & Marketing (OEM Division),Natural Latex Gloves – Powder-freeNitrile Gloves – Powder-free,None
MULTISAFE SDN BHD (236507-X),None,None,Lot 764_ Bidor Industrial Estate_ 35500 Bidor_ Perak_ MALAYSIA.,05-434 8269,05-434 8266,info@multisafe.com.my   ,None,Mr. Lim Ee Young_ Group Chief Executive OfficerMr. Thum Teck Lam_ General Manager,(a) Latex Examination Gloves(b) Nitrile Latex Examination Gloves,None
N. S. UNI-GLOVES SDN BHD (104031-V),http://www.margma.com.my/wp-content/uploads/2017/07/N-S.jpg,577085440,Lot 3 & 4/4510_ Lorong Senawang 4/1_ Senawang Industrial Estate_ 70450 Seremban_ Negeri Sembilan_ MALAYSIA.,606-677 2751 / 2,606-677 2755,unigloves@unigloves.com.my,www.ughealthcarecorporation.com,Mr. Ang Beng Teck_ Executive DirectorMr. Ang Beng Chee_ General Manager (Admin)Mr. Wong See Keong_ Executive Director_ Operations_ & Admin,(a) Latex Examination Gloves (Pre-Powdered and Powder-Free)(b) Nitrile Examination Gloves (Powder-free),Lano-E Examination Gloves (Latex & Nitrile)Zinc and Accelerator Free Nitrile Gloves
NASTAH INDUSTRIES SDN BHD (164985-K),http://www.margma.com.my/wp-content/uploads/2017/07/nastah-300x138.png,1358389248,Plot 393_ Lorong Perusahaan 8_ Prai Industrial Estate_ 13600    Prai_ Penang_ MALAYSIA,604-399 5303,604-399 9005,sales@nastah.com.my,www.nastah.com.my,Wong Kee Siang_ Managing DirectorAlan Wong_ Sales Manager,None,None
OON CORP RESOURCES (M) SDN BHD (134976-H),http://www.margma.com.my/wp-content/uploads/2017/07/oon-crop.png,1422917632,Lot 59_ Senawang Industrial Estate_ 70450 Seremban_ Negri Sembilan_ MALAYSIA.,606-678 0833,606-677 9620,info@ooncorp.com ,www.ooncorp.com,DATO’ Clement Oon_ CEOMr. Oon Kim Hung_ Deputy CEO,Latex & Nitrile Examination Gloves (Pre-Powdered and Power-free),None
PERUSAHAAN GETAH ASAS SDN BHD (89708-V),http://www.margma.com.my/wp-content/uploads/2017/07/kossan.png,402784256,Wisma Kossan_ Lot 782_ Jalan Sungai Putus_ Off Batu 3¾_ Jalan Kapar_ 42100 Klang_ Selangor_ MALAYSIA.,603-3291 2657,603-3291 7116 / 0584,mcheng@kossan.com.myalanthian@kossan.com.my,www.kossan.com.my,Mr. K K Heng_ Assistant General Manager (Ext: 535)Mr. Alan Thian_ Marketing Manager (Ext: 545)(Tel: 603-3291 2657/3291 2890),(a) Latex Examination Gloves (Powdered_ Powder-free_ Polymer-coated)(b) Nitrile Examination Gloves (Powdered & Powder-free_ Polymer-coated),None
PLATINUM GLOVE INDUSTRIES SDN BHD (661291-W),None,804782080,Lot 6491-A_ Batu 5¾_ Sementa_ Jalan Kapar_ 42100 Klang_ Selangor_ MALAYSIA.,603-3291 8261,603-3291 8626,info@platinumglove.com,None,Mr. Ahmad Faizi Mohd Kamil_ General Manager Corporate ServicesMs Ivy Leong Suet Mui_ Marketing Manager,Chemotherapy Nitrile Examination Gloves Chemotherapy High Risk Nitrile Gloves & Safety / Industrial Nitrile Gloves_ Latex Gloves,None
PROFESSIONAL LATEX SDN BHD (1038089-A),None,1946439680,Lot 52_ Jalan Logam 2_ Kamunting Raya Industrial_ 34600 Perak MALAYSIA,05-8911 63705-8911 417,05-8911 417,professionallatex@gmail.com,None,Mr. Kok Yoon Lim_ CEO,None,None
QUALITY LATEX PRODUCTS MALAYSIA SDN BHD (59087-U),None,1743847424,18 & 20 Jalan Kilang 2_ Jelapang Light Industrial Estate_ Taman Pertama_ 30100 Ipoh_ Perak_ MALAYSIA.,605-527 7228605-527 7889,605-527 7868,qualitylatex@gmail.com ,www.quality-latex.com.my,Mr. Edward Chong_ Managing DirectorMs. Carol Chong_ Marketing ManagerMr. Choong C. F._ Marketing Executive,(a) Latex Examination Gloves – Lightly-powdered & Powder-free (Natural Rubber & Low Protein)(b) Coloured Gloves(c) High Risk Gloves,None
QUBE MEDICAL PRODUCTS SDN BHD (827379-P),http://www.margma.com.my/wp-content/uploads/2017/07/qube.jpg,2.01503E+13,No.9_ Jalan KPK 1/3_ Kawasan Perindustrian Kundang_ 48020 Kundang_ Selangor_ MALAYSIA.,603-6034 5857,603-6034 5859,richardteo@qube.com.my ,www.qubemedic.com,Mr. Richard Teo_ Managing DirectorMr. Darren Teo_ Marketing Manager,(a) Powder Latex Examination Glove(b) Powder Free Latex Examination Glove(c) Powder Free Nitrile Examinaton Glove,None
RIVERSTONE RESOURCES SDN BHD (229842-A),http://www.margma.com.my/wp-content/uploads/2017/07/riverdtone.png,1139081216,Lot 55_ Jalan Jasmin 2_ Kawasan Perindustrian Bukit Beruntung_ 48300 Bukit Beruntung_ Selangor_ MALAYSIA.,603-6028 3033,603-6028 3022,sales@riverstone.com.my,www.riverstone.com.my,Mr. T. S. Wong_ Managing DirectorMr. K. L. Lee_ Business Development ManagerMs. Ginny Gan_ Sales Manager,Medical Gloves_ Cleanroom Gloves_ Finger Cots_ Cleanroom Face Mask_ Cleanroom Packaging bags.,None
RUBBERCARE PROTECTION PRODUCTS SDN BHD (169997-P),http://www.margma.com.my/wp-content/uploads/2017/07/CAREPLUS-150x150.jpg,1597005824,Lot 120 & 121_ Jalan Senawang 3_ Senawang Industrial Estate_ 70450 Seremban_ Negeri Sembilan_ MALAYSIA.,606-677 2781,606-677 2780,info@careplus.com,www.careplus.com,Mr. Lim Kwee Shyan_ Group CEOMs. Christine Yew_ Managing Director,Latex Powdered Examination Gloves,None
RUBBEREX (M) SDN BHD (81107-V),http://www.margma.com.my/wp-content/uploads/2017/07/rubberex-150x150.png,0015 005 77792,Lot 138201_ Off ¾ Mile_ Jalan Bercham Kawasan Perindustrian Bercham_ 31400 Ipoh_ MALAYSIA.,605-548 2809,605-548 2726,rubberex@rubberex.com.my ,www.rubberex.com.my,Mr. Khoo Thiam Chye_ Vice President-M’sia OperationsMs. Michelle Ma_ Asst General Manager- Salesmichelle@rubberex.com.my,Household & Dishwashing Rubber GlovesHousehold & Dishwashing Nitrile Gloves18 inch Rubber Industrial Gloves18 inch Nitrile Industrial Gloves18 inch Chloroprene Industrial GlovesNitrile Flocklined and Unlined GlovesChloroprene Gloves,None
SANCHEM CORPORATION SDN. BHD.,http://www.margma.com.my/wp-content/uploads/2017/07/sanchem-300x153.png,743309312,2469 Solok Perusahaan 1_ Prai Industrial Complex_ Locked Bag No. 205_ 13600 Prai_ Penang_ MALAYSIA.,604-399 8310,604-399 8155,ahfoo@sanchem.com.my ,None,Mr. Kazuyoshi Fukuda_ Managing DirectorMs. Foo Ah Huey_ Admin/Personnel Manager ,Latex Gloves,None
SIGMA GLOVE INDUSTRIES SDN BHD (978489-V),None,353107968,Lot 6497 Lorong Haji Abdul Manan_ Batu 5 3/4_ Sementa_ 42100 Klang.,603-3291 8668,603-3291 3113,info@sigmaglove.com.my,None,Mr Simon Wong Seng Chong_ Business Strategy DirectorMs Karen Tan Hooi Sim_ Marketing Manager,Nitrile Examination Glove_ Specialty Glove_ Latex Glove,None
SMART GLOVE CORPORATION SDN BHD (403570-D),http://www.margma.com.my/wp-content/uploads/2017/07/smart-glove.jpg,33816576,Lot 6487_ Batu 5¾_ Sementa_ Jalan Kapar_ 42100 Klang_ Selangor_ MALAYSIA.,603-3291 6100,603-3291 7526,info@smartglove.com.my,www.smartglove.com.my,Mr. Foo Khon Pu_ Managing DirectorMr Khoo Chee Eng_ Chief Finance Officer,(a) Cleanroom Class 10_ 100_ Clean Process Nitrile and Latex Gloves(b) Surgical Nitrile and Latex Gloves(c) Examination Nitrile and Latex Gloves(d) High Risk Nitrile and Latex Gloves(e) Industrial / Safety Nitrile and Latex Gloves(f) Specialty Glove,None
SSN MEDICAL PRODUCTS SDN BHD (441893-K),http://www.margma.com.my/wp-content/uploads/2017/07/ssn-300x47.png,401211392,Lot 31793 (Formerly Lot PT 7177)_ Jalan KPB 12_ Kampung Baru Balakong_ 43300 Seri Kembangan_ Selangor_ MALAYSIA.,603- 8961 6869,603- 8961 8829,information@ssnmedical.com ,www.ssnmedical.com,Clinton Ang Teck Leong_ Managing Director,Latex & Nitrile Examination GlovesLatex & Nitrile Chemotherapy GlovesLatex & Nitrile Surgical GlovesLatex & Nitrile High Risk GlovesLatex Male Condoms,None
SUPERMAX CORPORATION BERHAD (420405-P),http://www.margma.com.my/wp-content/uploads/2017/07/Supermax-Corporation-Berhad.png,None,Lot 38_ Putra Industrial Park_ Bukit Rahman Putra_ 40160 Sungai Buloh_ Selangor_ MALAYSIA.,603-6145 2328,603-6156 2191,info@supermax.com.my,www.supermax.com.my,Dato’ Seri Stanley Thai_ Group Managing DirectorDatin Seri Cheryl Tan_ Group Executive DirectorMr. Denis Low_ Director_ Sales & Marketing (OEM Division),Natural Rubber Gloves – Low Protein & Lightly Powdered_ Powder-freeNitrile Gloves – Powder-freeSurgical Gloves – Lightly Powdered & Powder-free,None
